namelsad10,Number_of_Requests,Household_Income,color
Census Tract 6718,1422,20333,#627f8c
Census Tract 6719,965,8831,#b0d5df
Census Tract 6720,3211,11358,#985356
Census Tract 6805,1532,12537,#627f8c
Census Tract 6806,1471,7191,#e4acac
Census Tract 6809,2350,4618,#c85a5a
Census Tract 6810,2572,14585,#574249
Census Tract 6811,2933,7252,#c85a5a
Census Tract 6812,2247,7043,#c85a5a
Census Tract 6813,1964,4985,#c85a5a
Census Tract 6814,2929,6380,#c85a5a
Census Tract 6903,1240,6325,#e4acac
Census Tract 6904,1988,9010,#985356
Census Tract 6905,766,11920,#b0d5df
Census Tract 6909,2761,6710,#c85a5a
Census Tract 6910,1836,10792,#ad9ea5
Census Tract 6911,2246,5790,#c85a5a
Census Tract 6912,2493,6183,#c85a5a
Census Tract 6913,2177,10089,#985356
Census Tract 6914,2522,6063,#c85a5a
Census Tract 6915,1415,5322,#e4acac
Census Tract 7001,2343,11088,#985356
Census Tract 7002,2566,7188,#c85a5a
Census Tract 7003.01,2214,9053,#985356
Census Tract 7003.02,2970,8547,#985356
Census Tract 7004.01,3593,6531,#c85a5a
Census Tract 7004.02,2974,9082,#985356
Census Tract 7005.01,4700,7347,#c85a5a
Census Tract 7005.02,1959,11640,#ad9ea5
Census Tract 701.01,950,14463,#64acbe
Census Tract 701.02,518,15307,#64acbe
Census Tract 701.03,331,6698,#e8e8e8
Census Tract 702,1271,21918,#627f8c
Census Tract 703,1701,15061,#627f8c
Census Tract 704,1287,32469,#627f8c
Census Tract 705,961,46652,#64acbe
Census Tract 706,1239,43284,#627f8c
Census Tract 707,1526,25388,#627f8c
Census Tract 710,809,32960,#64acbe
Census Tract 7101,857,6716,#e8e8e8
Census Tract 7102,2479,4570,#c85a5a
Census Tract 7103,835,6914,#e8e8e8
Census Tract 7104,3009,13279,#574249
Census Tract 7105,2214,7131,#c85a5a
Census Tract 7106,916,14078,#64acbe
Census Tract 7107,1714,7447,#e4acac
Census Tract 7108,2690,8857,#985356
Census Tract 7109,1951,6538,#e4acac
Census Tract 711,1238,55485,#627f8c
Census Tract 7110,2500,5365,#c85a5a
Census Tract 7111,1936,13630,#627f8c
Census Tract 7112,3500,12935,#574249
Census Tract 7113,985,8433,#b0d5df
Census Tract 7114,2075,6589,#c85a5a
Census Tract 7115,1947,8970,#ad9ea5
Census Tract 712,1359,36009,#627f8c
Census Tract 713,1064,52900,#64acbe
Census Tract 714,845,25332,#64acbe
Census Tract 715,1636,14887,#627f8c
Census Tract 716,541,44309,#64acbe
Census Tract 717,567,36937,#64acbe
Census Tract 718,931,46302,#64acbe
Census Tract 7201,2308,21879,#574249
Census Tract 7202,3076,15348,#574249
Census Tract 7203,2547,11508,#985356
Census Tract 7204,1068,9365,#b0d5df
Census Tract 7205,1366,11422,#ad9ea5
Census Tract 7206,978,20443,#64acbe
Census Tract 7207,2231,12951,#574249
Census Tract 7301,1822,7334,#e4acac
Census Tract 7302.01,2763,8584,#985356
Census Tract 7302.02,2224,13677,#574249
Census Tract 7303,945,10175,#b0d5df
Census Tract 7304,3187,8765,#985356
Census Tract 7305,3610,12172,#985356
Census Tract 7306,2961,13193,#574249
Census Tract 7307,2500,8827,#985356
Census Tract 7401,1968,10002,#985356
Census Tract 7402,2758,7940,#c85a5a
